"","id","province_state","country_region","lat","long","date","confirmed_cases","fatalities"
"1",1,NA,"Afghanistan",33,65,2020-01-22,0,0
"2",2,NA,"Afghanistan",33,65,2020-01-23,0,0
"3",3,NA,"Afghanistan",33,65,2020-01-24,0,0
"4",4,NA,"Afghanistan",33,65,2020-01-25,0,0
"5",5,NA,"Afghanistan",33,65,2020-01-26,0,0
"6",6,NA,"Afghanistan",33,65,2020-01-27,0,0
"7",7,NA,"Afghanistan",33,65,2020-01-28,0,0
"8",8,NA,"Afghanistan",33,65,2020-01-29,0,0
"9",9,NA,"Afghanistan",33,65,2020-01-30,0,0
"10",10,NA,"Afghanistan",33,65,2020-01-31,0,0
"11",11,NA,"Afghanistan",33,65,2020-02-01,0,0
"12",12,NA,"Afghanistan",33,65,2020-02-02,0,0
"13",13,NA,"Afghanistan",33,65,2020-02-03,0,0
"14",14,NA,"Afghanistan",33,65,2020-02-04,0,0
"15",15,NA,"Afghanistan",33,65,2020-02-05,0,0
"16",16,NA,"Afghanistan",33,65,2020-02-06,0,0
"17",17,NA,"Afghanistan",33,65,2020-02-07,0,0
"18",18,NA,"Afghanistan",33,65,2020-02-08,0,0
"19",19,NA,"Afghanistan",33,65,2020-02-09,0,0
"20",20,NA,"Afghanistan",33,65,2020-02-10,0,0
"21",21,NA,"Afghanistan",33,65,2020-02-11,0,0
"22",22,NA,"Afghanistan",33,65,2020-02-12,0,0
"23",23,NA,"Afghanistan",33,65,2020-02-13,0,0
"24",24,NA,"Afghanistan",33,65,2020-02-14,0,0
"25",25,NA,"Afghanistan",33,65,2020-02-15,0,0
"26",26,NA,"Afghanistan",33,65,2020-02-16,0,0
"27",27,NA,"Afghanistan",33,65,2020-02-17,0,0
"28",28,NA,"Afghanistan",33,65,2020-02-18,0,0
"29",29,NA,"Afghanistan",33,65,2020-02-19,0,0
"30",30,NA,"Afghanistan",33,65,2020-02-20,0,0
"31",31,NA,"Afghanistan",33,65,2020-02-21,0,0
"32",32,NA,"Afghanistan",33,65,2020-02-22,0,0
"33",33,NA,"Afghanistan",33,65,2020-02-23,0,0
"34",34,NA,"Afghanistan",33,65,2020-02-24,1,0
"35",35,NA,"Afghanistan",33,65,2020-02-25,1,0
"36",36,NA,"Afghanistan",33,65,2020-02-26,1,0
"37",37,NA,"Afghanistan",33,65,2020-02-27,1,0
"38",38,NA,"Afghanistan",33,65,2020-02-28,1,0
"39",39,NA,"Afghanistan",33,65,2020-02-29,1,0
"40",40,NA,"Afghanistan",33,65,2020-03-01,1,0
"41",41,NA,"Afghanistan",33,65,2020-03-02,1,0
"42",42,NA,"Afghanistan",33,65,2020-03-03,1,0
"43",43,NA,"Afghanistan",33,65,2020-03-04,1,0
"44",44,NA,"Afghanistan",33,65,2020-03-05,1,0
"45",45,NA,"Afghanistan",33,65,2020-03-06,1,0
"46",46,NA,"Afghanistan",33,65,2020-03-07,1,0
"47",47,NA,"Afghanistan",33,65,2020-03-08,4,0
"48",48,NA,"Afghanistan",33,65,2020-03-09,4,0
"49",49,NA,"Afghanistan",33,65,2020-03-10,5,0
"50",50,NA,"Afghanistan",33,65,2020-03-11,7,0
"51",51,NA,"Afghanistan",33,65,2020-03-12,7,0
"52",52,NA,"Afghanistan",33,65,2020-03-13,7,0
"53",53,NA,"Afghanistan",33,65,2020-03-14,11,0
"54",54,NA,"Afghanistan",33,65,2020-03-15,16,0
"55",55,NA,"Afghanistan",33,65,2020-03-16,21,0
"56",56,NA,"Afghanistan",33,65,2020-03-17,22,0
"57",57,NA,"Afghanistan",33,65,2020-03-18,22,0
"58",58,NA,"Afghanistan",33,65,2020-03-19,22,0
"59",59,NA,"Afghanistan",33,65,2020-03-20,24,0
"60",60,NA,"Afghanistan",33,65,2020-03-21,24,0
"61",61,NA,"Afghanistan",33,65,2020-03-22,40,1
"62",62,NA,"Afghanistan",33,65,2020-03-23,40,1
"63",63,NA,"Afghanistan",33,65,2020-03-24,74,1
"64",94,NA,"Albania",41.1533,20.1683,2020-01-22,0,0
"65",95,NA,"Albania",41.1533,20.1683,2020-01-23,0,0
"66",96,NA,"Albania",41.1533,20.1683,2020-01-24,0,0
"67",97,NA,"Albania",41.1533,20.1683,2020-01-25,0,0
"68",98,NA,"Albania",41.1533,20.1683,2020-01-26,0,0
"69",99,NA,"Albania",41.1533,20.1683,2020-01-27,0,0
"70",100,NA,"Albania",41.1533,20.1683,2020-01-28,0,0
"71",101,NA,"Albania",41.1533,20.1683,2020-01-29,0,0
"72",102,NA,"Albania",41.1533,20.1683,2020-01-30,0,0
"73",103,NA,"Albania",41.1533,20.1683,2020-01-31,0,0
"74",104,NA,"Albania",41.1533,20.1683,2020-02-01,0,0
"75",105,NA,"Albania",41.1533,20.1683,2020-02-02,0,0
"76",106,NA,"Albania",41.1533,20.1683,2020-02-03,0,0
"77",107,NA,"Albania",41.1533,20.1683,2020-02-04,0,0
"78",108,NA,"Albania",41.1533,20.1683,2020-02-05,0,0
"79",109,NA,"Albania",41.1533,20.1683,2020-02-06,0,0
"80",110,NA,"Albania",41.1533,20.1683,2020-02-07,0,0
"81",111,NA,"Albania",41.1533,20.1683,2020-02-08,0,0
"82",112,NA,"Albania",41.1533,20.1683,2020-02-09,0,0
"83",113,NA,"Albania",41.1533,20.1683,2020-02-10,0,0
"84",114,NA,"Albania",41.1533,20.1683,2020-02-11,0,0
"85",115,NA,"Albania",41.1533,20.1683,2020-02-12,0,0
"86",116,NA,"Albania",41.1533,20.1683,2020-02-13,0,0
"87",117,NA,"Albania",41.1533,20.1683,2020-02-14,0,0
"88",118,NA,"Albania",41.1533,20.1683,2020-02-15,0,0
"89",119,NA,"Albania",41.1533,20.1683,2020-02-16,0,0
"90",120,NA,"Albania",41.1533,20.1683,2020-02-17,0,0
"91",121,NA,"Albania",41.1533,20.1683,2020-02-18,0,0
"92",122,NA,"Albania",41.1533,20.1683,2020-02-19,0,0
"93",123,NA,"Albania",41.1533,20.1683,2020-02-20,0,0
"94",124,NA,"Albania",41.1533,20.1683,2020-02-21,0,0
"95",125,NA,"Albania",41.1533,20.1683,2020-02-22,0,0
"96",126,NA,"Albania",41.1533,20.1683,2020-02-23,0,0
"97",127,NA,"Albania",41.1533,20.1683,2020-02-24,0,0
"98",128,NA,"Albania",41.1533,20.1683,2020-02-25,0,0
"99",129,NA,"Albania",41.1533,20.1683,2020-02-26,0,0
"100",130,NA,"Albania",41.1533,20.1683,2020-02-27,0,0
"101",131,NA,"Albania",41.1533,20.1683,2020-02-28,0,0
"102",132,NA,"Albania",41.1533,20.1683,2020-02-29,0,0
"103",133,NA,"Albania",41.1533,20.1683,2020-03-01,0,0
"104",134,NA,"Albania",41.1533,20.1683,2020-03-02,0,0
"105",135,NA,"Albania",41.1533,20.1683,2020-03-03,0,0
"106",136,NA,"Albania",41.1533,20.1683,2020-03-04,0,0
"107",137,NA,"Albania",41.1533,20.1683,2020-03-05,0,0
"108",138,NA,"Albania",41.1533,20.1683,2020-03-06,0,0
"109",139,NA,"Albania",41.1533,20.1683,2020-03-07,0,0
"110",140,NA,"Albania",41.1533,20.1683,2020-03-08,0,0
"111",141,NA,"Albania",41.1533,20.1683,2020-03-09,2,0
"112",142,NA,"Albania",41.1533,20.1683,2020-03-10,10,0
"113",143,NA,"Albania",41.1533,20.1683,2020-03-11,12,1
"114",144,NA,"Albania",41.1533,20.1683,2020-03-12,23,1
"115",145,NA,"Albania",41.1533,20.1683,2020-03-13,33,1
"116",146,NA,"Albania",41.1533,20.1683,2020-03-14,38,1
"117",147,NA,"Albania",41.1533,20.1683,2020-03-15,42,1
"118",148,NA,"Albania",41.1533,20.1683,2020-03-16,51,1
"119",149,NA,"Albania",41.1533,20.1683,2020-03-17,55,1
"120",150,NA,"Albania",41.1533,20.1683,2020-03-18,59,2
"121",151,NA,"Albania",41.1533,20.1683,2020-03-19,64,2
"122",152,NA,"Albania",41.1533,20.1683,2020-03-20,70,2
"123",153,NA,"Albania",41.1533,20.1683,2020-03-21,76,2
"124",154,NA,"Albania",41.1533,20.1683,2020-03-22,89,2
"125",155,NA,"Albania",41.1533,20.1683,2020-03-23,104,4
"126",156,NA,"Albania",41.1533,20.1683,2020-03-24,123,5
"127",187,NA,"Algeria",28.0339,1.6596,2020-01-22,0,0
"128",188,NA,"Algeria",28.0339,1.6596,2020-01-23,0,0
"129",189,NA,"Algeria",28.0339,1.6596,2020-01-24,0,0
"130",190,NA,"Algeria",28.0339,1.6596,2020-01-25,0,0
"131",191,NA,"Algeria",28.0339,1.6596,2020-01-26,0,0
"132",192,NA,"Algeria",28.0339,1.6596,2020-01-27,0,0
"133",193,NA,"Algeria",28.0339,1.6596,2020-01-28,0,0
"134",194,NA,"Algeria",28.0339,1.6596,2020-01-29,0,0
"135",195,NA,"Algeria",28.0339,1.6596,2020-01-30,0,0
"136",196,NA,"Algeria",28.0339,1.6596,2020-01-31,0,0
"137",197,NA,"Algeria",28.0339,1.6596,2020-02-01,0,0
"138",198,NA,"Algeria",28.0339,1.6596,2020-02-02,0,0
"139",199,NA,"Algeria",28.0339,1.6596,2020-02-03,0,0
"140",200,NA,"Algeria",28.0339,1.6596,2020-02-04,0,0
